,City,month,test_type,count
521,Alabama,4,negative,1030397.0
522,Alabama,5,negative,4328674.0
523,Alabama,6,negative,8452439.0
524,Alabama,7,negative,15167614.0
525,Alabama,8,negative,22782688.0
526,Alabama,9,negative,27075160.0
527,Alabama,10,negative,33826150.0
528,Alabama,11,negative,38449982.0
529,Alabama,12,negative,8417948.0
530,Alaska,3,negative,25051.0
531,Alaska,4,negative,294877.0
532,Alaska,5,negative,1056616.0
533,Alaska,6,negative,2367660.0
534,Alaska,7,negative,5063238.0
535,Alaska,8,negative,9170572.0
536,Alaska,9,negative,12157935.0
537,Alaska,10,negative,15968264.0
538,Alaska,11,negative,24852718.0
539,Alaska,12,negative,6076772.0
540,Arizona,3,negative,64910.0
541,Arizona,4,negative,1273359.0
542,Arizona,5,negative,4062774.0
543,Arizona,6,negative,9639534.0
544,Arizona,7,negative,18919434.0
545,Arizona,8,negative,27617174.0
546,Arizona,9,negative,33734652.0
547,Arizona,10,negative,43030072.0
548,Arizona,11,negative,51694974.0
549,Arizona,12,negative,11881041.0
550,Arkansas,3,negative,26305.0
551,Arkansas,4,negative,668405.0
552,Arkansas,5,negative,2487946.0
553,Arkansas,6,negative,5976213.0
554,Arkansas,7,negative,11656682.0
555,Arkansas,8,negative,17392351.0
556,Arkansas,9,negative,23395836.0
557,Arkansas,10,negative,34162601.0
558,Arkansas,11,negative,41840541.0
559,Arkansas,12,negative,9497985.0
560,California,3,negative,234096.0
561,California,4,negative,7677813.0
562,California,5,negative,35849088.0
563,California,6,negative,84388722.0
564,California,7,negative,173358760.0
565,California,8,negative,282077851.0
566,California,9,negative,368017495.0
567,California,10,negative,489801406.0
568,California,11,negative,602382579.0
569,California,12,negative,140032022.0
570,Colorado,3,negative,111610.0
571,Colorado,4,negative,1020284.0
572,Colorado,5,negative,3248141.0
573,Colorado,6,negative,6820414.0
574,Colorado,7,negative,12032199.0
575,Colorado,8,negative,17819687.0
576,Colorado,9,negative,22316517.0
577,Colorado,10,negative,30522016.0
578,Colorado,11,negative,39631425.0
579,Colorado,12,negative,9407945.0
580,Connecticut,3,negative,77369.0
581,Connecticut,4,negative,1098414.0
582,Connecticut,5,negative,4072840.0
583,Connecticut,6,negative,9542905.0
584,Connecticut,7,negative,17932389.0
585,Connecticut,8,negative,28427669.0
586,Connecticut,9,negative,39883073.0
587,Connecticut,10,negative,58730781.0
588,Connecticut,11,negative,80323009.0
589,Connecticut,12,negative,19524555.0
590,Delaware,3,negative,6620.0
591,Delaware,4,negative,326141.0
592,Delaware,5,negative,1016432.0
593,Delaware,6,negative,2224983.0
594,Delaware,7,negative,4139079.0
595,Delaware,8,negative,6008310.0
596,Delaware,9,negative,7361513.0
597,Delaware,10,negative,9225331.0
598,Delaware,11,negative,10641714.0
599,Delaware,12,negative,2373083.0
600,District of Columbia,3,negative,20584.0
601,District of Columbia,4,negative,293640.0
602,District of Columbia,5,negative,878864.0
603,District of Columbia,6,negative,1789711.0
604,District of Columbia,7,negative,4004584.0
605,District of Columbia,8,negative,7076650.0
606,District of Columbia,9,negative,9756345.0
607,District of Columbia,10,negative,13589554.0
608,District of Columbia,11,negative,17353099.0
609,District of Columbia,12,negative,4154968.0
610,Florida,1,negative,0.0
611,Florida,2,negative,0.0
612,Florida,3,negative,292184.0
613,Florida,4,negative,6037170.0
614,Florida,5,negative,19806395.0
615,Florida,6,negative,40925751.0
616,Florida,7,negative,77199955.0
617,Florida,8,negative,112470532.0
618,Florida,9,negative,129505152.0
619,Florida,10,negative,153257179.0
