,date,City,positive,negative
4924,2020-03-17,Arizona,18.0,142.0
7424,2020-03-18,Ohio,67.0,140.0
11289,2020-03-18,Louisiana,137.0,335.0
6870,2020-03-18,Tennessee,73.0,349.0
2697,2020-03-18,Michigan,3659.0,1478.0
9083,2020-03-18,Iowa,23.0,83.0
8531,2020-03-18,Delaware,16.0,36.0
7978,2020-03-18,Maryland,57.0,94.0
689,2020-03-18,Florida,149.0,1225.0
1570,2020-03-18,Indiana,30.0,154.0
4647,2020-03-18,South Carolina,33.0,583.0
12389,2020-03-18,Maine,32.0,1670.0
6593,2020-03-18,Oregon,47.0,1118.0
1854,2020-03-18,Virginia,67.0,1201.0
13489,2020-03-18,Alabama,36.0,28.0
4925,2020-03-18,Arizona,20.0,148.0
6037,2020-03-18,Hawaii,10.0,93.0
10463,2020-03-18,Kentucky,22.0,354.0
11564,2020-03-18,North Dakota,1.0,268.0
2977,2020-03-18,New York,1374.0,12432.0
10187,2020-03-18,Kansas,15.0,417.0
6315,2020-03-18,Georgia,146.0,1311.0
9911,2020-03-18,Minnesota,246.0,2685.0
8807,2020-03-18,Alaska,3.0,404.0
5203,2020-03-18,North Carolina,40.0,1787.0
8255,2020-03-18,Nevada,73.0,168.0
376,2020-03-18,Massachusetts,118.0,2115.0
13764,2020-03-18,Connecticut,41.0,125.0
11014,2020-03-18,South Dakota,11.0,551.0
3813,2020-03-18,California,483.0,7981.0
9635,2020-03-18,Arkansas,22.0,236.0
7147,2020-03-18,District of Columbia,22.0,138.0
5481,2020-03-18,Illinois,159.0,1763.0
4091,2020-03-18,Colorado,183.0,2112.0
2135,2020-03-18,Rhode Island,33.0,719.0
7701,2020-03-18,New Mexico,28.0,2762.0
