,month,state,City,POPESTIMATE2020,positive,negative
199,July,OK,Oklahoma,3980783.0,715656.0,13692298.0
200,July,OR,Oregon,4241507.0,410322.0,9531640.0
201,July,PA,Pennsylvania,12783254.0,3040433.0,27518621.0
202,July,RI,Rhode Island,1057125.0,548488.0,4956782.0
203,July,SC,South Carolina,5218040.0,1925613.0,14840211.0
204,July,SD,South Dakota,892717.0,238095.0,2712437.0
205,July,TN,Tennessee,6886834.0,2194826.0,33023828.0
206,July,TX,Texas,29360759.0,8860439.0,76217138.0
207,July,UT,Utah,3249879.0,966930.0,12838648.0
208,July,VA,Virginia,8590563.0,2303721.0,24614580.0
209,July,VT,Vermont,623347.0,40825.0,2386400.0
210,July,WA,Washington,7693612.0,1475233.0,26072904.0
211,July,WI,Wisconsin,5832655.0,1329224.0,21813331.0
212,July,WV,West Virginia,1784787.0,141266.0,6786053.0
213,July,WY,Wyoming,582328.0,62742.0,1261597.0
214,June,AK,Alaska,731158.0,20041.0,2367660.0
215,June,AL,Alabama,4921532.0,779845.0,8452439.0
216,June,AR,Arkansas,3030522.0,385174.0,5976213.0
217,June,AZ,Arizona,7421401.0,1232979.0,9639534.0
218,June,CA,California,39368078.0,4646867.0,84388722.0
219,June,CO,Colorado,5807719.0,880530.0,6820414.0
220,June,CT,Connecticut,3557006.0,1344347.0,9542905.0
221,June,DC,District of Columbia,712816.0,290302.0,1789711.0
222,June,DE,Delaware,986809.0,310625.0,2224983.0
223,June,FL,Florida,21733312.0,2472748.0,40925751.0
224,June,GA,Georgia,10710017.0,1787986.0,17354742.0
225,June,HI,Hawaii,1407006.0,22165.0,1846780.0
226,June,IA,Iowa,3163561.0,718690.0,6181861.0
227,June,ID,Idaho,1826913.0,110284.0,1878296.0
228,June,IL,Illinois,12587530.0,3989836.0,33123453.0
229,June,IN,Indiana,6754953.0,1199829.0,9831654.0
230,June,KS,Kansas,2913805.0,345629.0,3770805.0
231,June,KY,Kentucky,4477251.0,378207.0,8474508.0
232,June,LA,Louisiana,4645318.0,1414455.0,14760239.0
233,June,MA,Massachusetts,6893574.0,3152948.0,18544791.0
234,June,MD,Maryland,6055802.0,1833703.0,10938162.0
235,June,ME,Maine,1350141.0,83129.0,2090101.0
236,June,MI,Michigan,9966555.0,1994527.0,23112791.0
237,June,MN,Minnesota,5657342.0,932226.0,12303744.0
238,June,MO,Missouri,6151548.0,493848.0,8021156.0
239,June,MS,Mississippi,2966786.0,600747.0,6294894.0
240,June,MT,Montana,1080577.0,19339.0,1867610.0
241,June,NC,North Carolina,10600823.0,1339674.0,18240294.0
242,June,ND,North Dakota,765309.0,92094.0,2573958.0
243,June,NE,Nebraska,1937552.0,497792.0,3697558.0
244,June,NH,New Hampshire,1366275.0,157564.0,2757622.0
245,June,NJ,New Jersey,8882371.0,4998963.0,28681254.0
246,June,NM,New Mexico,2106319.0,293855.0,7822810.0
247,June,NV,Nevada,3138259.0,356014.0,6077530.0
248,June,NY,New York,19336776.0,11490808.0,79223084.0
